date,capital,position,price,total_value,daily_return,cummax,drawdown
2022-07-15,-43.753608,27985,4.3,120291.746392,-0.013766404429166434,130968.865084,-8.152409876310662
2022-07-18,-43.753608,27985,4.34,121411.146392,0.009305709107856552,130968.865084,-7.29770292036198
2022-07-19,-43.753608,27985,4.32,120851.446392,-0.00460995564767086,130968.865084,-7.725056398336322
2022-07-20,121082.826372,0,4.33,121082.826372,0.0019145818019379313,130968.865084,-7.548388470541729
2022-07-21,121082.826372,0,4.29,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-22,121082.826372,0,4.29,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-25,121082.826372,0,4.27,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-26,121082.826372,0,4.3,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-27,121082.826372,0,4.28,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-28,121082.826372,0,4.28,121082.826372,0.0,130968.865084,-7.548388470541729
2022-07-29,121082.826372,0,4.22,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-01,121082.826372,0,4.24,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-02,121082.826372,0,4.17,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-03,121082.826372,0,4.12,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-04,121082.826372,0,4.15,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-05,121082.826372,0,4.22,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-08,121082.826372,0,4.2,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-09,121082.826372,0,4.21,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-10,121082.826372,0,4.17,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-11,121082.826372,0,4.25,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-12,121082.826372,0,4.26,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-15,121082.826372,0,4.25,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-16,121082.826372,0,4.24,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-17,121082.826372,0,4.28,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-18,121082.826372,0,4.24,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-19,121082.826372,0,4.21,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-22,121082.826372,0,4.24,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-23,121082.826372,0,4.22,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-24,121082.826372,0,4.15,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-25,121082.826372,0,4.18,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-26,121082.826372,0,4.18,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-29,121082.826372,0,4.15,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-30,121082.826372,0,4.14,121082.826372,0.0,130968.865084,-7.548388470541729
2022-08-31,121082.826372,0,4.14,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-01,121082.826372,0,4.11,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-02,121082.826372,0,4.08,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-05,121082.826372,0,4.08,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-06,121082.826372,0,4.11,121082.826372,0.0,130968.865084,-7.548388470541729
